"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 18 10:08:28 UTC 2026","Thu Jun 18 10:08:28 UTC 2026","26","tests.api.notes","test_create_note","","","","test_create_note[valid]",""
"passed","Thu Jun 18 10:08:59 UTC 2026","Thu Jun 18 10:09:01 UTC 2026","1647","tests.ui","test_login","","","","test_login[without_password]",""
"passed","Thu Jun 18 10:08:30 UTC 2026","Thu Jun 18 10:08:30 UTC 2026","14","tests.api.notes","test_create_note","","","","test_create_note[without_title]",""
"passed","Thu Jun 18 10:08:30 UTC 2026","Thu Jun 18 10:08:30 UTC 2026","15","tests.api.notes","test_create_note","","","","test_create_note[without_description]",""
"passed","Thu Jun 18 10:08:42 UTC 2026","Thu Jun 18 10:08:42 UTC 2026","10","tests.api.users","test_get_profile","","","","test_get_profile[unauth]",""
"passed","Thu Jun 18 10:08:41 UTC 2026","Thu Jun 18 10:08:41 UTC 2026","36","tests.api.users","test_get_profile","","","","test_get_profile[auth]",""
"passed","Thu Jun 18 10:08:32 UTC 2026","Thu Jun 18 10:08:33 UTC 2026","158","tests.api.notes","test_delete_note_by_id","","","","test_delete_note_by_id[unauth]",""
"passed","Thu Jun 18 10:08:48 UTC 2026","Thu Jun 18 10:08:48 UTC 2026","42","tests.api.users","test_update_profile","","","","test_update_profile[without_company]",""
"passed","Thu Jun 18 10:08:27 UTC 2026","Thu Jun 18 10:08:27 UTC 2026","12","tests.api.notes","test_create_note","","","","test_create_note[unauth]",""
"passed","Thu Jun 18 10:08:41 UTC 2026","Thu Jun 18 10:08:41 UTC 2026","12","tests.api.users","test_delete_user","","","","test_delete_user[unauth]",""
"passed","Thu Jun 18 10:09:07 UTC 2026","Thu Jun 18 10:09:08 UTC 2026","1246","tests.ui","test_register","","","","test_register[without_confirm_password]",""
"passed","Thu Jun 18 10:08:57 UTC 2026","Thu Jun 18 10:08:59 UTC 2026","1665","tests.ui","test_login","","","","test_login[without_username]",""
"passed","Thu Jun 18 10:08:41 UTC 2026","Thu Jun 18 10:08:41 UTC 2026","48","tests.api.users","test_delete_user","","","","test_delete_user[auth]",""
"passed","Thu Jun 18 10:08:35 UTC 2026","Thu Jun 18 10:08:35 UTC 2026","12","tests.api.notes","test_get_notes","","","","test_get_notes[unauth]",""
"passed","Thu Jun 18 10:08:48 UTC 2026","Thu Jun 18 10:08:48 UTC 2026","40","tests.api.users","test_update_profile","","","","test_update_profile[without_phone]",""
"passed","Thu Jun 18 10:08:36 UTC 2026","Thu Jun 18 10:08:36 UTC 2026","50","tests.api.notes","test_get_notes","","","","test_get_notes[single_note]",""
"passed","Thu Jun 18 10:08:46 UTC 2026","Thu Jun 18 10:08:46 UTC 2026","11","tests.api.users","test_update_profile","","","","test_update_profile[unauth]",""
"passed","Thu Jun 18 10:09:09 UTC 2026","Thu Jun 18 10:09:10 UTC 2026","1237","tests.ui","test_register","","","","test_register[password_mismatch]",""
"passed","Thu Jun 18 10:08:31 UTC 2026","Thu Jun 18 10:08:31 UTC 2026","16","tests.api.notes","test_create_note","","","","test_create_note[with_invalid_category]",""
"passed","Thu Jun 18 10:08:49 UTC 2026","Thu Jun 18 10:08:51 UTC 2026","1423","tests.ui","test_login","","","","test_login[valid]",""
"passed","Thu Jun 18 10:08:49 UTC 2026","Thu Jun 18 10:08:49 UTC 2026","41","tests.api.users","test_update_profile","","","","test_update_profile[without_phone_company]",""
"passed","Thu Jun 18 10:08:51 UTC 2026","Thu Jun 18 10:08:52 UTC 2026","1336","tests.ui","test_login","","","","test_login[invalid_username]",""
"passed","Thu Jun 18 10:08:53 UTC 2026","Thu Jun 18 10:08:54 UTC 2026","1431","tests.ui","test_login","","","","test_login[invalid_password]",""
"passed","Thu Jun 18 10:08:43 UTC 2026","Thu Jun 18 10:08:43 UTC 2026","13","tests.api.users","test_login","","","","test_login[without_email_password]",""
"passed","Thu Jun 18 10:08:37 UTC 2026","Thu Jun 18 10:08:37 UTC 2026","88","tests.api.notes","test_get_notes","","","","test_get_notes[multiple_notes]",""
"passed","Thu Jun 18 10:08:55 UTC 2026","Thu Jun 18 10:08:56 UTC 2026","1548","tests.ui","test_login","","","","test_login[without_username_password]",""
"passed","Thu Jun 18 10:08:37 UTC 2026","Thu Jun 18 10:08:37 UTC 2026","57","tests.api.notes","test_update_note","","","","test_update_note[auth]",""
"passed","Thu Jun 18 10:08:44 UTC 2026","Thu Jun 18 10:08:44 UTC 2026","16","tests.api.users","test_login","","","","test_login[without_password]",""
"passed","Thu Jun 18 10:08:47 UTC 2026","Thu Jun 18 10:08:47 UTC 2026","42","tests.api.users","test_update_profile","","","","test_update_profile[without_name_phone_company]",""
"passed","Thu Jun 18 10:08:45 UTC 2026","Thu Jun 18 10:08:45 UTC 2026","32","tests.api.users","test_register","","","","test_register[without_email]",""
"passed","Thu Jun 18 10:08:40 UTC 2026","Thu Jun 18 10:08:40 UTC 2026","60","tests.api.notes","test_update_note_completed_status","","","","test_update_note_completed_status[unauth]",""
"passed","Thu Jun 18 10:08:29 UTC 2026","Thu Jun 18 10:08:29 UTC 2026","14","tests.api.notes","test_create_note","","","","test_create_note[without_title_description_category]",""
"passed","Thu Jun 18 10:08:45 UTC 2026","Thu Jun 18 10:08:45 UTC 2026","66","tests.api.users","test_register","","","","test_register[without_name_email_password]",""
"passed","Thu Jun 18 10:08:46 UTC 2026","Thu Jun 18 10:08:46 UTC 2026","43","tests.api.users","test_update_profile","","","","test_update_profile[valid]",""
"passed","Thu Jun 18 10:08:45 UTC 2026","Thu Jun 18 10:08:45 UTC 2026","132","tests.api.users","test_register","","","","test_register[valid]",""
"passed","Thu Jun 18 10:08:38 UTC 2026","Thu Jun 18 10:08:38 UTC 2026","81","tests.api.notes","test_update_note_completed_status","","","","test_update_note_completed_status[auth]",""
"passed","Thu Jun 18 10:08:45 UTC 2026","Thu Jun 18 10:08:45 UTC 2026","29","tests.api.users","test_register","","","","test_register[without_password]",""
"passed","Thu Jun 18 10:08:45 UTC 2026","Thu Jun 18 10:08:45 UTC 2026","12","tests.api.users","test_logout","","","","test_logout[unauth]",""
"passed","Thu Jun 18 10:08:45 UTC 2026","Thu Jun 18 10:08:46 UTC 2026","44","tests.api.users","test_update_profile","","","","test_update_profile[auth]",""
"passed","Thu Jun 18 10:08:32 UTC 2026","Thu Jun 18 10:08:32 UTC 2026","179","tests.api.notes","test_delete_note_by_id","","","","test_delete_note_by_id[auth]",""
"passed","Thu Jun 18 10:08:44 UTC 2026","Thu Jun 18 10:08:44 UTC 2026","47","tests.api.users","test_logout","","","","test_logout[auth]",""
"passed","Thu Jun 18 10:08:26 UTC 2026","Thu Jun 18 10:08:26 UTC 2026","148","tests.api.health","test_check","","","","test_check[health_check]",""
"passed","Thu Jun 18 10:08:47 UTC 2026","Thu Jun 18 10:08:47 UTC 2026","35","tests.api.users","test_update_profile","","","","test_update_profile[without_name]",""
"passed","Thu Jun 18 10:08:33 UTC 2026","Thu Jun 18 10:08:33 UTC 2026","48","tests.api.notes","test_get_note_by_id","","","","test_get_note_by_id[auth]",""
"passed","Thu Jun 18 10:09:01 UTC 2026","Thu Jun 18 10:09:03 UTC 2026","1504","tests.ui","test_register","","","","test_register[without_username_password_confirm_password]",""
"passed","Thu Jun 18 10:08:43 UTC 2026","Thu Jun 18 10:08:44 UTC 2026","13","tests.api.users","test_login","","","","test_login[without_email]",""
"passed","Thu Jun 18 10:09:03 UTC 2026","Thu Jun 18 10:09:05 UTC 2026","1485","tests.ui","test_register","","","","test_register[without_username]",""
"passed","Thu Jun 18 10:08:35 UTC 2026","Thu Jun 18 10:08:35 UTC 2026","50","tests.api.notes","test_get_notes","","","","test_get_notes[empty_notes]",""
"passed","Thu Jun 18 10:08:34 UTC 2026","Thu Jun 18 10:08:34 UTC 2026","34","tests.api.notes","test_get_note_by_id","","","","test_get_note_by_id[unauth]",""
"passed","Thu Jun 18 10:08:43 UTC 2026","Thu Jun 18 10:08:43 UTC 2026","14","tests.api.users","test_login","","","","test_login[invalid_email]",""
"passed","Thu Jun 18 10:08:42 UTC 2026","Thu Jun 18 10:08:42 UTC 2026","118","tests.api.users","test_login","","","","test_login[valid]",""
"passed","Thu Jun 18 10:08:27 UTC 2026","Thu Jun 18 10:08:27 UTC 2026","60","tests.api.notes","test_create_note","","","","test_create_note[auth]",""
"passed","Thu Jun 18 10:08:31 UTC 2026","Thu Jun 18 10:08:31 UTC 2026","15","tests.api.notes","test_create_note","","","","test_create_note[without_category]",""
"passed","Thu Jun 18 10:08:43 UTC 2026","Thu Jun 18 10:08:43 UTC 2026","107","tests.api.users","test_login","","","","test_login[invalid_password]",""
"passed","Thu Jun 18 10:08:45 UTC 2026","Thu Jun 18 10:08:45 UTC 2026","42","tests.api.users","test_register","","","","test_register[without_name]",""
"passed","Thu Jun 18 10:08:38 UTC 2026","Thu Jun 18 10:08:38 UTC 2026","37","tests.api.notes","test_update_note","","","","test_update_note[unauth]",""
"passed","Thu Jun 18 10:08:34 UTC 2026","Thu Jun 18 10:08:34 UTC 2026","18","tests.api.notes","test_get_notes","","","","test_get_notes[auth]",""
"passed","Thu Jun 18 10:09:05 UTC 2026","Thu Jun 18 10:09:06 UTC 2026","1360","tests.ui","test_register","","","","test_register[without_password]",""
